"","country","reef","fish.richness","SP","PP","fish.biomass"
"1","Haiti","H1",17,560.9260621,1.233616498,333.4259121
"2","Haiti","H2",17,1367.718866,1.093596482,849.3962439
"3","Haiti","H3",14,2309.693041,2.097229596,1820.931907
"4","Haiti","H4",15,1222.146048,1.374601339,916.8842444
"5","Haiti","H5",10,438.2925277,0.704057017,250.6847092
"6","Haiti","H6",12,993.8233501,1.090023665,587.5679201
"7","Haiti","H8",7,178.0178052,1.827021177,56.7290871
"8","Bahamas","LH1",12,672.9317486,1.245667711,366.4466906
"9","Bahamas","LH2",10,252.6079449,1.454833685,1065.13273
"10","Bahamas","LH3",8,243.6580564,0.707426708,832.388494
"11","Bahamas","MOW1",10,405.4053859,0.937695157,423.1088
"12","Bahamas","MOW2",6,191.9892005,0.896627244,164.5330132
"13","Bahamas","MOW3",8,74.859506,0.833718169,177.5530311
